SubjectID,Dice,Dice TC,Dice WT,Dice ET,Pred NM TC,Pred NM WT,Pred NM ET,GT NM TC,GT NM WT,GT NM ET,Pred V TC,Pred V WT,Pred V ET,GT V TC,GT V WT,GT V ET,Pred Paths,GT Paths
100381A,0.8843699097633362,0.8895522952079773,0.8874551653862,0.8761023283004761,14,8,143,4,4,5,76634,77351,75331,65397,65401,62331,"['outputs/AHNet/pred_segs/train_pred_segs/pred_100381A_TC.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100381A_WT.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100381A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100381A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100381A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100381A_ET.npz']"
100414B,0.20366449654102325,0.22662889957427979,0.22287389636039734,0.16149067878723145,9,5,10,5,5,5,197,185,104,156,156,57,"['outputs/AHNet/pred_segs/train_pred_segs/pred_100414B_TC.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100414B_WT.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100414B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100414B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100414B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100414B_ET.npz']"
100132B,0.6774296760559082,0.7611986398696899,0.7559248805046082,0.5151656270027161,5,5,5,5,5,5,1825,1837,1450,1412,1412,693,"['outputs/AHNet/pred_segs/train_pred_segs/pred_100132B_TC.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100132B_WT.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100132B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100132B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100132B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100132B_ET.npz']"
100212A,0.0,0.0,0.0,0.0,6,4,6,9,9,0,44,38,12,183,183,0,"['outputs/AHNet/pred_segs/train_pred_segs/pred_100212A_TC.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100212A_WT.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100212A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100212A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100212A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100212A_ET.npz']"
100243B,0.7432162165641785,0.7578487992286682,0.7588229775428772,0.7129769325256348,9,9,14,6,6,5,4680,4706,4569,5863,5863,5364,"['outputs/AHNet/pred_segs/train_pred_segs/pred_100243B_TC.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100243B_WT.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100243B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100243B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100243B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100243B_ET.npz']"
100343A,0.750622034072876,0.8187088370323181,0.8225817084312439,0.6105754971504211,29,20,30,3,3,1,7746,7835,6493,7434,7434,3776,"['outputs/AHNet/pred_segs/train_pred_segs/pred_100343A_TC.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100343A_WT.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100343A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100343A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100343A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100343A_ET.npz']"
100409B,0.9132120609283447,0.9225518107414246,0.9231479167938232,0.8939364552497864,21,9,238,9,9,7,110508,111724,106152,102189,102727,93285,"['outputs/AHNet/pred_segs/train_pred_segs/pred_100409B_TC.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100409B_WT.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100409B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100409B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100409B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100409B_ET.npz']"
100196B,0.4597344696521759,0.4032139182090759,0.6212684512138367,0.3547210991382599,30,25,75,29,29,21,20052,20276,19165,17908,27626,8265,"['outputs/AHNet/pred_segs/train_pred_segs/pred_100196B_TC.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100196B_WT.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100196B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100196B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100196B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100196B_ET.npz']"
100140A,0.9298272728919983,0.9362339377403259,0.9354720711708069,0.9177758693695068,14,9,34,3,3,3,59444,60125,59088,54786,54957,52704,"['outputs/AHNet/pred_segs/train_pred_segs/pred_100140A_TC.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100140A_WT.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100140A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100140A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100140A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100140A_ET.npz']"
100122A,0.7243397831916809,0.7486481070518494,0.7630126476287842,0.6613585352897644,10,9,10,10,10,9,2426,2469,2221,2567,2603,1798,"['outputs/AHNet/pred_segs/train_pred_segs/pred_100122A_TC.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100122A_WT.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100122A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100122A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100122A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100122A_ET.npz']"
100352A,0.7819509506225586,0.8832454681396484,0.8806584477424622,0.5819489359855652,2,3,209,1,1,1,6362,6476,3853,6160,6160,1986,"['outputs/AHNet/pred_segs/train_pred_segs/pred_100352A_TC.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100352A_WT.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100352A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100352A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100352A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100352A_ET.npz']"
100371A,0.6309829354286194,0.718120813369751,0.7188019752502441,0.4560260474681854,1,1,5,1,1,1,291,290,193,305,311,114,"['outputs/AHNet/pred_segs/train_pred_segs/pred_100371A_TC.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100371A_WT.npz', 'outputs/AHNet/pred_segs/train_pred_segs/pred_100371A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100371A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100371A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100371A_ET.npz']"
