SubjectID,Dice,Dice TC,Dice WT,Dice ET,Pred NM TC,Pred NM WT,Pred NM ET,GT NM TC,GT NM WT,GT NM ET,Pred V TC,Pred V WT,Pred V ET,GT V TC,GT V WT,GT V ET,Pred Paths,GT Paths
100381A,0.9124326705932617,0.9124700427055359,0.9124261140823364,0.9124019145965576,4,5,4,4,4,5,63039,63473,61005,65397,65401,62331,"['outputs/SegResNet/pred_segs/train_pred_segs/pred_100381A_TC.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100381A_WT.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100381A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100381A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100381A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100381A_ET.npz']"
100414B,0.3026439845561981,0.328125,0.33464565873146057,0.2451612949371338,12,11,1,5,5,5,356,352,98,156,156,57,"['outputs/SegResNet/pred_segs/train_pred_segs/pred_100414B_TC.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100414B_WT.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100414B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100414B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100414B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100414B_ET.npz']"
100132B,0.7145039439201355,0.762459933757782,0.7658321261405945,0.6152197122573853,5,5,5,5,5,5,2019,1983,1173,1412,1412,693,"['outputs/SegResNet/pred_segs/train_pred_segs/pred_100132B_TC.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100132B_WT.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100132B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100132B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100132B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100132B_ET.npz']"
100212A,0.2632620334625244,0.26181817054748535,0.2647058963775635,0.0,5,5,1,9,9,0,92,89,4,183,183,0,"['outputs/SegResNet/pred_segs/train_pred_segs/pred_100212A_TC.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100212A_WT.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100212A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100212A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100212A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100212A_ET.npz']"
100243B,0.7896339893341064,0.7996612191200256,0.7965088486671448,0.7727319598197937,5,5,5,6,6,5,4764,4678,4347,5863,5863,5364,"['outputs/SegResNet/pred_segs/train_pred_segs/pred_100243B_TC.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100243B_WT.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100243B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100243B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100243B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100243B_ET.npz']"
100343A,0.7773730158805847,0.821331799030304,0.8219883441925049,0.6887989044189453,15,15,4,3,3,1,6217,6155,3634,7434,7434,3776,"['outputs/SegResNet/pred_segs/train_pred_segs/pred_100343A_TC.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100343A_WT.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100343A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100343A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100343A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100343A_ET.npz']"
100409B,0.9215056300163269,0.925523042678833,0.9269267916679382,0.9120669364929199,7,7,6,9,9,7,92972,92844,84498,102189,102727,93285,"['outputs/SegResNet/pred_segs/train_pred_segs/pred_100409B_TC.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100409B_WT.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100409B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100409B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100409B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100409B_ET.npz']"
100196B,0.4375641644001007,0.38322320580482483,0.5448669195175171,0.38460245728492737,21,22,15,29,29,21,16902,17240,15531,17908,27626,8265,"['outputs/SegResNet/pred_segs/train_pred_segs/pred_100196B_TC.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100196B_WT.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100196B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100196B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100196B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100196B_ET.npz']"
100140A,0.9572892189025879,0.9602245092391968,0.9615818858146667,0.9500612020492554,3,3,3,3,3,3,53899,54028,51083,54786,54957,52704,"['outputs/SegResNet/pred_segs/train_pred_segs/pred_100140A_TC.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100140A_WT.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100140A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100140A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100140A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100140A_ET.npz']"
100122A,0.7288480401039124,0.7532270550727844,0.7601741552352905,0.6731428503990173,8,8,8,10,10,9,2701,2680,1702,2567,2603,1798,"['outputs/SegResNet/pred_segs/train_pred_segs/pred_100122A_TC.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100122A_WT.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100122A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100122A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100122A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100122A_ET.npz']"
100352A,0.8290245532989502,0.8918984532356262,0.8947668075561523,0.7004085183143616,1,1,1,1,1,1,6171,6127,2420,6160,6160,1986,"['outputs/SegResNet/pred_segs/train_pred_segs/pred_100352A_TC.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100352A_WT.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100352A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100352A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100352A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100352A_ET.npz']"
100371A,0.712562620639801,0.7503828406333923,0.7725191116333008,0.6147859692573547,1,2,1,1,1,1,348,344,143,305,311,114,"['outputs/SegResNet/pred_segs/train_pred_segs/pred_100371A_TC.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100371A_WT.npz', 'outputs/SegResNet/pred_segs/train_pred_segs/pred_100371A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100371A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100371A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100371A_ET.npz']"
