SubjectID,Dice,Dice TC,Dice WT,Dice ET,Pred NM TC,Pred NM WT,Pred NM ET,GT NM TC,GT NM WT,GT NM ET,Pred V TC,Pred V WT,Pred V ET,GT V TC,GT V WT,GT V ET,Pred Paths,GT Paths
100381A,0.9146032333374023,0.9138612151145935,0.9144295454025269,0.915519118309021,5,4,2,4,4,5,72044,72088,69474,65397,65401,62331,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100381A_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100381A_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100381A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100381A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100381A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100381A_ET.npz']"
100414B,0.4599784314632416,0.5497075915336609,0.5476190447807312,0.28260868787765503,10,11,1,5,5,5,186,180,35,156,156,57,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100414B_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100414B_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100414B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100414B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100414B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100414B_ET.npz']"
100132B,0.7418515682220459,0.7607950568199158,0.772147536277771,0.6926121115684509,6,7,4,5,5,5,1506,1489,823,1412,1412,693,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100132B_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100132B_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100132B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100132B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100132B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100132B_ET.npz']"
100212A,0.3359704315662384,0.359183669090271,0.3127571940422058,0.0,6,7,2,9,9,0,62,60,5,183,183,0,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100212A_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100212A_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100212A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100212A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100212A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100212A_ET.npz']"
100243B,0.7946904301643372,0.802859902381897,0.8024418354034424,0.7787695527076721,12,18,10,6,6,5,5606,5440,5055,5863,5863,5364,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100243B_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100243B_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100243B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100243B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100243B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100243B_ET.npz']"
100343A,0.6633214354515076,0.7139465808868408,0.7172915935516357,0.5587261319160461,30,33,25,3,3,1,6046,6301,4074,7434,7434,3776,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100343A_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100343A_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100343A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100343A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100343A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100343A_ET.npz']"
100409B,0.9221305251121521,0.9247098565101624,0.9267290830612183,0.9149525761604309,6,6,8,9,9,7,96230,96397,87955,102189,102727,93285,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100409B_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100409B_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100409B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100409B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100409B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100409B_ET.npz']"
100196B,0.2732717990875244,0.2454931139945984,0.39149078726768494,0.1828315258026123,27,27,14,29,29,21,62469,62864,61351,17908,27626,8265,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100196B_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100196B_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100196B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100196B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100196B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100196B_ET.npz']"
100140A,0.9525572657585144,0.9522866010665894,0.9557506442070007,0.9496346712112427,6,6,5,3,3,3,58285,58039,55426,54786,54957,52704,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100140A_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100140A_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100140A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100140A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100140A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100140A_ET.npz']"
100122A,0.7556974291801453,0.7680832743644714,0.7794297933578491,0.7195792198181152,10,10,7,10,10,9,3198,3114,2385,2567,2603,1798,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100122A_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100122A_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100122A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100122A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100122A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100122A_ET.npz']"
100352A,0.8384053707122803,0.901620090007782,0.9058842658996582,0.7077116966247559,1,3,3,1,1,1,6617,6314,2773,6160,6160,1986,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100352A_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100352A_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100352A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100352A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100352A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100352A_ET.npz']"
100371A,0.6524901986122131,0.7361111044883728,0.7417677640914917,0.47959184646606445,1,1,1,1,1,1,271,266,82,305,311,114,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100371A_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100371A_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100371A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100371A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100371A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100371A_ET.npz']"
100108E,0.7197224497795105,0.7756590247154236,0.7753155827522278,0.6081927418708801,9,9,8,12,12,9,1560,1559,917,2006,2006,1158,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100108E_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100108E_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100108E_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100108E_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100108E_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100108E_ET.npz']"
100218B,0.9389957785606384,0.9425384402275085,0.9458621144294739,0.9285867214202881,4,3,7,2,2,2,113215,113617,100322,116208,116499,110241,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100218B_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100218B_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100218B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100218B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100218B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100218B_ET.npz']"
100322B,0.68239825963974,0.7009407877922058,0.7300103902816772,0.6162436604499817,18,19,18,18,18,15,4288,4283,2044,3259,3421,1896,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100322B_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100322B_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100322B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100322B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100322B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100322B_ET.npz']"
100271A,0.8332917094230652,0.8573351502418518,0.8562572002410889,0.7862828969955444,12,15,4,1,1,2,6922,7004,5373,6452,6868,4425,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100271A_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100271A_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100271A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100271A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100271A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100271A_ET.npz']"
100183A,0.7418131232261658,0.8059332370758057,0.7990074157714844,0.6204985976219177,3,3,1,1,1,2,421,418,190,388,388,171,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100183A_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100183A_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100183A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100183A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100183A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100183A_ET.npz']"
100149A,0.6934502124786377,0.708436131477356,0.705247700214386,0.6666666865348816,12,13,4,9,9,2,945,957,551,1082,1082,664,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100149A_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100149A_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100149A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100149A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100149A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100149A_ET.npz']"
100161D,0.8892280459403992,0.8898269534111023,0.8931544423103333,0.8847026824951172,10,10,10,15,15,8,56847,56819,54102,55204,55502,52067,"['outputs/UNETR/pred_segs/train_pred_segs/pred_100161D_TC.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100161D_WT.npz', 'outputs/UNETR/pred_segs/train_pred_segs/pred_100161D_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100161D_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100161D_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100161D_ET.npz']"
