SubjectID,Dice,Dice TC,Dice WT,Dice ET,Pred NM TC,Pred NM WT,Pred NM ET,GT NM TC,GT NM WT,GT NM ET,Pred V TC,Pred V WT,Pred V ET,GT V TC,GT V WT,GT V ET,Pred Paths,GT Paths
100381A,0.8583603501319885,0.8658547401428223,0.8654741644859314,0.8437521457672119,5,5,5,4,4,5,55554,55520,55533,65397,65401,62331,"['outputs/UNet/pred_segs/train_pred_segs/pred_100381A_TC.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100381A_WT.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100381A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100381A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100381A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100381A_ET.npz']"
100414B,0.033295001834630966,0.038714390248060226,0.03850344941020012,0.02266716957092285,4,4,4,5,5,5,2582,2597,2590,156,156,57,"['outputs/UNet/pred_segs/train_pred_segs/pred_100414B_TC.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100414B_WT.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100414B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100414B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100414B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100414B_ET.npz']"
100132B,0.44779229164123535,0.5,0.49811851978302,0.3452583849430084,3,3,3,5,5,5,2832,2840,2829,1412,1412,693,"['outputs/UNet/pred_segs/train_pred_segs/pred_100132B_TC.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100132B_WT.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100132B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100132B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100132B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100132B_ET.npz']"
100212A,0.0,0.0,0.0,0.0,3,3,3,9,9,0,1311,1301,1313,183,183,0,"['outputs/UNet/pred_segs/train_pred_segs/pred_100212A_TC.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100212A_WT.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100212A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100212A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100212A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100212A_ET.npz']"
100243B,0.6528790593147278,0.667962908744812,0.6685107946395874,0.6221635341644287,8,8,8,6,6,5,7509,7513,7504,5863,5863,5364,"['outputs/UNet/pred_segs/train_pred_segs/pred_100243B_TC.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100243B_WT.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100243B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100243B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100243B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100243B_ET.npz']"
100343A,0.6770997643470764,0.7818256616592407,0.7815096974372864,0.4679640233516693,2,2,2,3,3,1,7114,7125,7118,7434,7434,3776,"['outputs/UNet/pred_segs/train_pred_segs/pred_100343A_TC.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100343A_WT.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100343A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100343A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100343A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100343A_ET.npz']"
100409B,0.8983648419380188,0.9131545424461365,0.9151140451431274,0.8668259382247925,4,4,4,9,9,7,96290,96234,96294,102189,102727,93285,"['outputs/UNet/pred_segs/train_pred_segs/pred_100409B_TC.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100409B_WT.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100409B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100409B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100409B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100409B_ET.npz']"
100196B,0.3135046064853668,0.2654879093170166,0.4500519335269928,0.22497396171092987,16,14,15,29,29,21,42607,42637,42612,17908,27626,8265,"['outputs/UNet/pred_segs/train_pred_segs/pred_100196B_TC.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100196B_WT.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100196B_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100196B_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100196B_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100196B_ET.npz']"
100140A,0.9413366317749023,0.9475608468055725,0.9490459561347961,0.9274029731750488,3,3,3,3,3,3,54064,54102,54091,54786,54957,52704,"['outputs/UNet/pred_segs/train_pred_segs/pred_100140A_TC.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100140A_WT.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100140A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100140A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100140A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100140A_ET.npz']"
100122A,0.6832635998725891,0.7154827117919922,0.7244694232940674,0.6098388433456421,5,5,5,10,10,9,2923,2910,2918,2567,2603,1798,"['outputs/UNet/pred_segs/train_pred_segs/pred_100122A_TC.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100122A_WT.npz', 'outputs/UNet/pred_segs/train_pred_segs/pred_100122A_ET.npz']","['outputs/gt_segs/train_gt_segs/gt_100122A_TC.npz', 'outputs/gt_segs/train_gt_segs/gt_100122A_WT.npz', 'outputs/gt_segs/train_gt_segs/gt_100122A_ET.npz']"
